symbol,method_of_action,cosmic_moa,intogen_moa,huang_et_al_moa,gene_id,dataset_name
DUSP16,LoF,,LoF,,SIDG07078,Driver genes
EBF1,ambiguous,"TSG, fusion",ambiguous,,SIDG07252,Driver genes
EFTUD2,ambiguous,,ambiguous,,SIDG07446,Driver genes
EGFR,Act,oncogene,Act,,SIDG07457,Driver genes
EGR2,ambiguous,,ambiguous,,SIDG07468,Driver genes
EHD2,ambiguous,,ambiguous,,SIDG07474,Driver genes
EIF1AX,LoF,,LoF,,SIDG07496,Driver genes
EIF3E,ambiguous,"TSG, fusion",Act,,SIDG07541,Driver genes
EIF4A2,fusion,fusion,,,SIDG07580,Driver genes
ELF3,LoF,,LoF,,SIDG07653,Driver genes
ELF4,ambiguous,"oncogene, TSG, fusion",Act,,SIDG07655,Driver genes
ELK4,Act,"oncogene, fusion",,,SIDG07665,Driver genes
ELL,ambiguous,"TSG, fusion",ambiguous,,SIDG07666,Driver genes
ELN,ambiguous,,ambiguous,,SIDG07682,Driver genes
EML4,ambiguous,fusion,ambiguous,,SIDG07772,Driver genes
ENPEP,ambiguous,,ambiguous,,SIDG07813,Driver genes
EP300,LoF,"TSG, fusion",LoF,,SIDG07855,Driver genes
EPAS1,ambiguous,"oncogene, TSG",Act,,SIDG07859,Driver genes
EPHA2,LoF,,LoF,,SIDG07878,Driver genes
EPHA3,ambiguous,,ambiguous,,SIDG07879,Driver genes
EPHA7,ambiguous,,ambiguous,,SIDG07884,Driver genes
EPS15,ambiguous,"TSG, fusion",Act,,SIDG07916,Driver genes
ERBB2,Act,"oncogene, fusion",Act,,SIDG07927,Driver genes
ERBB3,Act,oncogene,Act,,SIDG07928,Driver genes
ERBB4,ambiguous,"oncogene, TSG",LoF,,SIDG07929,Driver genes
ERC1,fusion,fusion,,,SIDG07931,Driver genes
ERCC1,LoF,NaN,NaN,Tumor Suppressor Gene,SIDG07934,CPV genes
ERCC2,LoF,TSG,LoF,Tumor Suppressor Gene,SIDG07935,"Driver genes, CPV genes"
ERCC3,LoF,TSG,LoF,Tumor Suppressor Gene,SIDG07936,"Driver genes, CPV genes"
ERCC4,LoF,TSG,NaN,Tumor Suppressor Gene,SIDG07937,"Driver genes, CPV genes"
ERCC5,LoF,TSG,NaN,Tumor Suppressor Gene,SIDG07938,"Driver genes, CPV genes"
ERG,Act,"oncogene, fusion",Act,,SIDG07949,Driver genes
ESR1,ambiguous,"oncogene, TSG, fusion",Act,,SIDG08129,Driver genes
ESRRA,Act,,Act,,SIDG08134,Driver genes
ETNK1,LoF,TSG,,,SIDG08160,Driver genes
ETV1,Act,"oncogene, fusion",,,SIDG08165,Driver genes
ETV4,ambiguous,"oncogene, fusion",LoF,,SIDG08169,Driver genes
ETV5,Act,"oncogene, fusion",Act,,SIDG08170,Driver genes
ETV6,ambiguous,"TSG, fusion",Act,Oncogene,SIDG08172,"Driver genes, CPV genes"
EWSR1,Act,"oncogene, fusion",Act,,SIDG08191,Driver genes
EXT1,LoF,"TSG, fusion",NaN,Tumor Suppressor Gene,SIDG08228,"Driver genes, CPV genes"
EXT2,LoF,TSG,LoF,Tumor Suppressor Gene,SIDG08229,"Driver genes, CPV genes"
EZH2,ambiguous,"oncogene, TSG",LoF,,SIDG08244,Driver genes
EZR,fusion,fusion,,,SIDG08246,Driver genes
FAM135B,Act,,Act,,SIDG08581,Driver genes
FAM174B,ambiguous,,ambiguous,,SIDG08637,Driver genes
FAM186A,ambiguous,,ambiguous,,SIDG08657,Driver genes
FANCA,LoF,TSG,LoF,Tumor Suppressor Gene,SIDG08782,"Driver genes, CPV genes"
FANCC,LoF,TSG,LoF,Tumor Suppressor Gene,SIDG08784,"Driver genes, CPV genes"
